Dhananjaya Maduranga de Silva, Right hand Bat, Right arm Offbreak, Allrounder, Sri Lanka,"(https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/319800/319859.png)"
Mark Richard Adair, Right hand Bat,,, Ireland,"(https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/319800/319892.png)"
David Wiese, Right hand Bat, Right arm Medium fast, Allrounder, Namibia,"(https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/322000/322079.png)"
Pathum Nissanka Silva, Right hand Bat,, Top order Batter, Sri Lanka,"(https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/323000/323070.png)"
Michael Levitt, Right hand Bat, Right arm Fast, Top order Batter, Netherlands,"(https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/368000/368043.png)"
Riazat Ali Shah, Right hand Bat, Right arm Medium, Batting Allrounder, Uganda,"(https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/275800/275801.1.jpg)"
Khalid Kail, Right hand Bat, Middle order Batter, , Oman,"(https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/381900/381922.4.jpg)"
Mehran Khan, Right hand Bat, Right arm Medium fast, Batter, Oman,"(https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/321700/321776.png)"
George Henry Dockrell, Right hand Bat, Slow Left arm Orthodox, Allrounder, Ireland,"(https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316600/316659.png)"
Shadab Khan, Right hand Bat, Legbreak, Allrounder, Pakistan,"(https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/320400/320467.png)"
Michael van Lingen, Left hand Bat, Left arm Medium, Bowling Allrounder, Namibia,"(https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/350300/350305.png)"
Karim Janat, Right hand Bat, Right arm Medium, Bowling Allrounder, Afghanistan,"(https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/383200/383232.png)"
Aqib Ilyas Sulehri, Right hand Bat, Right arm Offbreak, Top order Batter, Oman,"(https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/321700/321767.png)"
Michael Alexander Leask, Right hand Bat, Right arm Offbreak, Allrounder, Scotland,"(https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316600/316678.png)"
Mohammad Rishad Hossain, Right hand Bat, Legbreak Googly, Bowler, Bangladesh,"(https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/382800/382809.png)"
